iter	Passed	Remaining
739	3637	1277
740	3643	1273
741	3648	1268
742	3653	1263
743	3658	1258
744	3662	1253
745	3666	1248
746	3671	1243
747	3676	1238
748	3681	1233
749	3686	1228
750	3690	1223
751	3695	1218
752	3699	1213
753	3703	1208
754	3707	1202
755	3711	1197
756	3715	1192
757	3720	1187
758	3724	1182
759	3728	1177
760	3732	1172
761	3736	1167
762	3741	1162
763	3745	1156
764	3749	1151
765	3754	1146
766	3758	1141
767	3763	1136
768	3767	1131
769	3772	1126
770	3776	1121
771	3781	1116
772	3785	1111
773	3789	1106
774	3795	1101
775	3799	1096
776	3803	1091
777	3809	1086
778	3814	1082
779	3818	1077
780	3823	1072
781	3827	1067
782	3832	1062
783	3836	1057
784	3841	1052
785	3847	1047
786	3851	1042
787	3856	1037
788	3861	1032
789	3866	1027
790	3870	1022
791	3875	1017
792	3879	1012
793	3884	1007
794	3888	1002
795	3893	997
796	3897	992
797	3905	988
798	3910	983
799	3914	978
800	3919	973
801	3923	968
802	3928	963
803	3932	958
804	3936	953
805	3940	948
806	3945	943
807	3949	938
808	3953	933
809	3957	928
810	3961	923
811	3965	918
812	3969	912
813	3973	907
814	3977	902
815	3981	897
816	3986	893
817	3991	888
818	3995	882
819	3999	878
820	4003	872
821	4008	867
822	4012	862
823	4015	857
824	4019	852
825	4023	847
826	4028	842
827	4032	837
828	4036	832
829	4040	827
830	4044	822
831	4049	817
832	4054	812
833	4058	807
834	4062	802
835	4067	797
836	4071	792
837	4075	787
838	4080	782
839	4084	778
840	4088	773
841	4092	768
842	4096	762
843	4101	758
844	4106	753
845	4110	748
846	4114	743
847	4119	738
848	4123	733
849	4127	728
850	4131	723
851	4135	718
852	4139	713
853	4143	708
854	4148	703
855	4152	698
856	4156	693
857	4160	688
858	4164	683
859	4169	678
860	4172	673
861	4177	668
862	4181	663
863	4186	658
864	4189	653
865	4193	648
866	4198	643
867	4202	639
868	4206	634
869	4210	629
870	4214	624
871	4218	619
872	4222	614
873	4226	609
874	4230	604
875	4234	599
876	4238	594
877	4243	589
878	4247	584
879	4252	579
880	4256	574
881	4261	570
882	4265	565
883	4269	560
884	4274	555
885	4278	550
886	4283	545
887	4287	540
888	4291	535
889	4295	530
890	4299	526
891	4304	521
892	4308	516
893	4313	511
894	4317	506
895	4322	501
896	4326	496
897	4331	492
898	4335	487
899	4339	482
900	4343	477
901	4347	472
902	4351	467
903	4355	462
904	4359	457
905	4364	452
906	4368	447
907	4372	443
908	4377	438
909	4382	433
910	4386	428
911	4390	423
912	4395	418
913	4399	413
914	4403	409
915	4407	404
916	4411	399
917	4415	394
918	4419	389
919	4424	384
920	4428	379
921	4432	374
922	4436	370
923	4441	365
924	4445	360
925	4449	355
926	4453	350
927	4458	345
928	4462	341
929	4466	336
930	4470	331
931	4474	326
932	4478	321
933	4483	316
934	4487	311
935	4492	307
936	4496	302
937	4500	297
938	4505	292
939	4509	287
940	4513	283
941	4517	278
942	4521	273
943	4525	268
944	4529	263
945	4533	258
946	4537	253
947	4542	249
948	4546	244
949	4550	239
950	4554	234
951	4558	229
952	4562	225
953	4567	220
954	4571	215
955	4576	210
956	4580	205
957	4584	200
958	4588	196
959	4592	191
960	4596	186
961	4600	181
962	4604	176
963	4608	172
964	4611	167
965	4615	162
966	4619	157
967	4623	152
968	4628	148
969	4632	143
970	4636	138
971	4640	133
972	4644	128
973	4648	124
974	4653	119
975	4657	114
976	4661	109
977	4665	104
978	4668	100
979	4672	95
980	4676	90
981	4680	85
982	4684	81
983	4688	76
984	4692	71
985	4696	66
986	4700	61
987	4704	57
988	4708	52
989	4712	47
990	4716	42
991	4721	38
992	4725	33
993	4729	28
994	4734	23
995	4738	19
996	4742	14
997	4747	9
998	4751	4
999	4755	0
